(15000)
1 (6717)
3 (2723)
7 (2993)
8 (2819)
3 50 62 81 (1441)
9 79 81 82 (1441)
62 79 81 82 (1441)
3 79 81 82 (1441)
9 62 79 81 (1442)
3 9 79 81 (1442)
3 62 79 81 (1442)
9 62 81 82 (1441)
3 9 81 82 (1441)
3 62 81 82 (1441)
3 9 62 81 (1442)
1 3 9 74 (1441)
1 3 62 74 (1441)
1 8 79 87 (1441)
8 9 79 87 (1441)
8 62 79 87 (1441)
3 8 79 87 (1441)
1 8 9 87 (1441)
1 8 62 87 (1441)
1 3 8 87 (1441)
8 9 62 87 (1441)
3 8 9 87 (1441)
3 8 62 87 (1441)
1 9 79 87 (1441)
1 62 79 87 (1441)
1 3 79 87 (1441)
9 62 79 87 (1441)
3 9 79 87 (1441)
3 62 79 87 (1441)
1 9 62 87 (1441)
1 3 9 87 (1441)
1 3 62 87 (1441)
3 9 62 87 (1441)
8 10 75 79 (1441)
8 9 10 75 (1441)
8 10 62 75 (1441)
3 8 10 75 (1441)
9 10 75 79 (1441)
10 62 75 79 (1441)
3 10 75 79 (1441)
9 10 62 75 (1441)
3 9 10 75 (1441)
3 10 62 75 (1441)
8 9 75 79 (1441)
8 62 75 79 (1441)
3 8 75 79 (1441)
8 9 62 75 (1441)
3 8 9 75 (1441)
3 8 62 75 (1441)
9 62 75 79 (1441)
3 9 75 79 (1441)
3 62 75 79 (1441)
1 3 62 75 (1441)
3 9 62 75 (1441)
50 62 76 85 (1441)
3 50 76 85 (1441)
9 62 76 85 (1441)
3 9 76 85 (1441)
3 62 76 85 (1443)
8 10 76 79 (1441)
8 9 10 76 (1441)
8 10 62 76 (1441)
3 8 10 76 (1441)
9 10 76 79 (1441)
10 62 76 79 (1441)
3 10 76 79 (1441)
9 10 62 76 (1441)
3 9 10 76 (1441)
3 10 62 76 (1441)
8 9 76 79 (1441)
8 62 76 79 (1441)
3 8 76 79 (1441)
8 9 62 76 (1441)
3 8 9 76 (1441)
3 8 62 76 (1441)
3 50 62 76 (1441)
9 62 76 79 (1443)
3 9 76 79 (1442)
3 62 76 79 (1442)
3 9 62 76 (1443)
50 77 82 83 (1441)
50 62 77 83 (1441)
3 50 77 83 (1441)
62 77 82 83 (1441)
3 77 82 83 (1441)
3 62 77 83 (1441)
3 50 77 84 (1441)
3 50 77 85 (1442)
62 77 79 85 (1441)
8 10 77 79 (1442)
1 8 10 77 (1442)
8 9 10 77 (1444)
8 10 62 77 (1441)
3 8 10 77 (1443)
9 10 77 79 (1442)
10 62 77 79 (1441)
3 10 77 79 (1441)
1 9 10 77 (1442)
1 3 10 77 (1442)
9 10 62 77 (1441)
3 9 10 77 (1443)
8 9 77 79 (1442)
8 62 77 79 (1441)
3 8 77 79 (1441)
1 8 9 77 (1442)
1 3 8 77 (1442)
8 9 62 77 (1441)
3 8 9 77 (1443)
50 62 77 79 (1441)
3 50 77 79 (1441)
50 62 77 82 (1441)
3 50 77 82 (1441)
3 50 62 77 (1442)
9 62 77 79 (1441)
3 9 77 79 (1441)
3 62 77 79 (1442)
3 62 77 82 (1441)
1 3 9 77 (1442)
83 84 85 86 (1672)
10 83 84 86 (1672)
8 83 84 86 (1672)
79 83 84 86 (1672)
82 83 84 86 (1672)
1 83 84 86 (1672)
9 83 84 86 (1672)
62 83 84 86 (1672)
3 83 84 86 (1672)
10 83 85 86 (1672)
8 83 85 86 (1672)
79 83 85 86 (1672)
82 83 85 86 (1672)
1 83 85 86 (1672)
9 83 85 86 (1672)
62 83 85 86 (1672)
3 83 85 86 (1672)
8 10 83 86 (1672)
10 79 83 86 (1672)
10 82 83 86 (1672)
1 10 83 86 (1672)
9 10 83 86 (1672)
10 62 83 86 (1672)
3 10 83 86 (1672)
8 79 83 86 (1672)
8 82 83 86 (1672)
1 8 83 86 (1672)
8 9 83 86 (1672)
8 62 83 86 (1672)
3 8 83 86 (1672)
79 82 83 86 (1672)
1 79 83 86 (1672)
9 79 83 86 (1672)
62 79 83 86 (1672)
3 79 83 86 (1672)
1 82 83 86 (1672)
9 82 83 86 (1672)
62 82 83 86 (1672)
3 82 83 86 (1672)
1 9 83 86 (1672)
1 62 83 86 (1672)
1 3 83 86 (1672)
9 62 83 86 (1672)
3 9 83 86 (1672)
3 62 83 86 (1672)
10 83 84 85 (1672)
8 83 84 85 (1672)
79 83 84 85 (1672)
82 83 84 85 (1672)
1 83 84 85 (1672)
9 83 84 85 (1672)
62 83 84 85 (1672)
3 83 84 85 (1672)
8 10 83 84 (1672)
10 79 83 84 (1672)
10 82 83 84 (1672)
1 10 83 84 (1672)
9 10 83 84 (1672)
10 62 83 84 (1672)
3 10 83 84 (1672)
8 79 83 84 (1672)
8 82 83 84 (1672)
1 8 83 84 (1672)
8 9 83 84 (1672)
8 62 83 84 (1672)
3 8 83 84 (1672)
79 82 83 84 (1672)
